token,RT,brown_bigram_surprisal,length,index
The,175.66666666666666,0.9189621806144714,3,0
renaissance,396.4,4.009530544281006,11,1
in,163.25,1.6678144931793213,2,2
children's,354.2,5.5072832107543945,10,3
literature,235.7,3.98187518119812,10,4
is,185.0,1.534493088722229,2,5
turning,326.77777777777777,4.829860210418701,7,6
out,186.8,1.890965461730957,3,7
to,214.75,1.2364161014556885,2,8
be,178.14285714285714,1.182197093963623,2,9
one,139.33333333333334,2.458547830581665,3,10
of,147.33333333333334,0.6648094058036804,2,11
the,183.3333333333333,0.5706213116645813,3,12
most,109.2,2.2198173999786377,4,13
striking,253.75,2.649837017059326,8,14
cultural,305.625,4.409302234649658,8,15
characteristics,363.8,4.293514728546143,15,16
of,0.0,0.2878510057926178,2,17
our,244.25,2.1545755863189697,3,18
times.,237.5555555555556,2.861072063446045,6,19
Whether,250.9,3.299619436264038,7,20
we,171.33333333333334,1.6339192390441897,2,21
are,169.16666666666666,1.0943523645401,3,22
reassessing,489.5,6.124083042144775,11,23
the,237.875,2.011846780776977,3,24
achievements,204.0,4.690890789031982,12,25
of,173.5,1.2455437183380127,2,26
the,206.0,0.5706213116645813,3,27
"past,",246.4,2.673658609390259,5,28
as,125.5,2.2706499099731445,2,29
with,281.625,2.506937026977539,4,30
the,246.0,0.6727896332740784,3,31
film,190.75,3.442594051361084,4,32
of,188.5,1.6142864227294922,2,33
The,179.5,0.5706213116645813,3,34
Lord,227.0,3.3468117713928223,4,35
of,145.75,1.6137707233428955,2,36
the,171.5,0.5706213116645813,3,37
"Rings,",140.9,5.220182418823242,6,38
or,137.0,2.4711358547210693,2,39
falling,282.77777777777777,4.661057472229004,7,40
in,0.0,1.246622085571289,2,41
love,269.5,2.961699724197388,4,42
with,158.33333333333334,1.363783359527588,4,43
current,285.7142857142857,4.722078323364258,7,44
child-heroes,493.0,4.669334411621094,12,45
like,0.0,3.2623586654663086,4,46
Harry,250.8571428571429,4.972409248352051,5,47
"Potter,",210.42857142857144,5.44508695602417,7,48
there,242.3333333333333,3.176600217819214,5,49
has,176.0,1.943748116493225,3,50
never,232.125,1.99239182472229,5,51
been,138.88888888888889,1.3568174839019775,4,52
another,160.0,3.2877097129821777,7,53
time,181.3333333333333,2.585113763809204,4,54
when,209.66666666666663,1.8243142366409304,4,55
children's,222.3333333333333,5.423628807067871,10,56
literature,241.5555555555556,3.98187518119812,10,57
could,150.8,3.388909101486206,5,58
command,336.2857142857143,4.648679256439209,7,59
such,238.57142857142856,3.3980770111083984,4,60
attention.,330.3333333333333,4.127468109130859,10,61
About,463.3333333333333,3.05397367477417,5,62
six,184.0,2.321016550064087,3,63
months,242.28571428571428,1.1226478815078735,6,64
ago,145.75,1.4743772745132446,3,65
I,150.66666666666666,1.829926609992981,1,66
wrote,194.11111111111111,2.825876474380493,5,67
on,204.25,1.968614101409912,2,68
these,279.1,2.26868748664856,5,69
pages,252.0,2.640234470367432,5,70
that,178.25,2.4929418563842773,4,71
Philip,190.9,5.146200180053711,6,72
Pullman's,271.3,5.687958240509033,9,73
novel,217.0,4.257565975189209,5,74
The,170.5,2.0348119735717773,3,75
Amber,196.22222222222223,5.332508087158203,5,76
Spyglass,373.6,5.752273082733154,8,77
would,212.5,2.6560146808624268,5,78
be,149.33333333333334,0.651138961315155,2,79
a,0.0,1.2896203994750977,1,80
