word	sentid	sentpos	wlen	surp	entropy	entred
If	0	0	2	10.248306274414062	5.634664058685303	0
you	0	1	3	7.0589399337768555	5.231227397918701	0.40343666076660156
were	0	2	4	3.6722936630249023	7.170536041259766	0
to	0	3	2	5.858785629272461	8.976997375488281	0
journey	0	4	7	17.37973976135254	7.208412170410156	1.768585205078125
to	0	5	2	2.4422075748443604	5.851990222930908	1.356421947479248
the	0	6	3	1.4013659954071045	6.700632572174072	0
North	0	7	5	8.167357444763184	10.030096054077148	0
of	0	8	2	7.739516735076904	4.224362850189209	5.8057332038879395
<unk>	0	9	5	7.7620625495910645	3.2815451622009277	0.9428176879882812
you	0	10	3	13.957597732543945	3.8128228187561035	0
would	0	11	5	5.37423849105835	7.612201690673828	0
come	0	12	4	7.44335412979126	7.094139099121094	0.5180625915527344
to	0	13	2	1.8081108331680298	5.162513256072998	1.9316258430480957
a	0	14	1	4.615878582000732	8.139893531799316	0
valley	0	15	6	13.439563751220703	10.284002304077148	0
that	0	16	4	4.92128849029541	6.679121494293213	3.6048808097839355
is	0	17	2	4.72255802154541	8.12305736541748	0
surrounded	0	18	10	9.764148712158203	8.419989585876465	0
by	0	19	2	0.1829112321138382	1.1113343238830566	7.308655261993408
<unk>	0	20	5	4.305291652679443	5.596814155578613	0
as	0	21	2	8.917623519897461	6.328501224517822	0
high	0	22	4	9.469002723693848	5.166232109069824	1.162269115447998
as	0	23	2	0.10605233162641525	0.8449835777282715	4.321248531341553
<unk>	0	24	5	4.667830467224121	6.880449295043945	0
It	1	0	2	8.13441276550293	5.634664058685303	0
is	1	1	2	1.6889947652816772	3.7517857551574707	1.882878303527832
in	1	2	2	6.311655521392822	6.980208396911621	0
this	1	3	4	5.762500762939453	6.723552227020264	0.2566561698913574
valley	1	4	6	15.855027198791504	8.321198463439941	0
where	1	5	5	7.056101322174072	6.498117446899414	1.8230810165405273
you	1	6	3	6.743401050567627	5.63563346862793	0.8624839782714844
would	1	7	5	7.793867588043213	8.033208847045898	0
find	1	8	4	6.33725643157959	7.807927131652832	0.2252817153930664
the	1	9	3	2.6501588821411133	6.666635990142822	1.1412911415100098
city	1	10	4	8.837957382202148	10.169057846069336	0
of	1	11	2	3.7204127311706543	6.806427955627441	3.3626298904418945
<unk>	1	12	5	2.8788068294525146	9.860621452331543	0
where	1	13	5	9.05926513671875	5.869710922241211	3.990910530090332
once	1	14	4	11.497539520263672	4.8277740478515625	1.0419368743896484
a	1	15	1	4.155034065246582	6.017738342285156	0
thousand	1	16	8	9.692688941955566	9.752155303955078	0
spinning	1	17	8	19.37308120727539	6.563501834869385	3.1886534690856934
<unk>	1	18	5	6.1076884269714355	7.705962181091309	0
that	1	19	4	8.391603469848633	6.831986904144287	0.8739752769470215
<unk>	1	20	5	5.559942722320557	7.595947265625	0
and	1	21	3	5.671309471130371	6.613134860992432	0.9828124046325684
<unk>	1	22	5	2.1227879524230957	8.756002426147461	0
spun	1	23	4	16.834489822387695	7.811296463012695	0.9447059631347656
wool	1	24	4	22.125476837158203	4.019751071929932	3.7915453910827637
into	1	25	4	4.32603645324707	5.100683689117432	0
money	1	26	5	14.456473350524902	5.676426887512207	0
for	1	27	3	5.133727073669434	5.732661247253418	0
the	1	28	3	1.9328219890594482	7.245565891265869	0
<unk>	1	29	5	3.731257915496826	10.542283058166504	0
mill	1	30	4	16.528343200683594	7.005292892456055	3.536990165710449
<unk>	1	31	5	7.047397613525391	5.1250152587890625	1.8802776336669922
That	2	0	4	10.167810440063477	5.634664058685303	0
all	2	1	3	11.74997615814209	6.860409259796143	0
mill	2	2	4	19.29732894897461	8.066225051879883	0
owners	2	3	6	10.792826652526855	8.943175315856934	0
were	2	4	4	3.5362250804901123	7.813368320465088	1.1298069953918457
generally	2	5	9	10.526421546936035	9.581335067749023	0
busy	2	6	4	12.891397476196289	10.010844230651855	0
as	2	7	2	6.723987102508545	8.72736644744873	1.283477783203125
<unk>	2	8	5	5.398080348968506	6.681280612945557	2.046085834503174
and	2	9	3	3.247882127761841	4.934387683868408	1.7468929290771484
quite	2	10	5	12.693805694580078	9.510581016540527	0
pleased	2	11	7	15.883875846862793	9.173336029052734	0.33724498748779297
with	2	12	4	1.4537700414657593	4.105147838592529	5.068188190460205
themselves	2	13	10	9.267950057983398	6.186559200286865	0
for	2	14	3	6.4985198974609375	5.937810897827148	0.2487483024597168
being	2	15	5	7.193518161773682	7.126415729522705	0
so	2	16	2	7.604038238525391	8.88732624053955	0
successful	2	17	10	6.6024250984191895	9.383149147033691	0
and	2	18	3	4.094913959503174	3.881439685821533	5.501709461212158
well	2	19	4	10.388794898986816	8.981498718261719	0
off	2	20	3	9.848278045654297	6.067683696746826	2.9138150215148926
was	2	21	3	9.6021728515625	5.621338367462158	0.44634532928466797
known	2	22	5	9.253080368041992	8.909039497375488	0
to	2	23	2	2.2480883598327637	4.664910793304443	4.244128704071045
the	2	24	3	7.399526119232178	4.3253865242004395	0.3395242691040039
residents	2	25	9	14.635762214660645	10.40488052368164	0
of	2	26	2	0.9545171856880188	4.003137111663818	6.401743412017822
<unk>	2	27	5	4.863314628601074	5.419580459594727	0
and	2	28	3	3.0392258167266846	6.4605817794799805	0
if	2	29	2	12.65054702758789	7.898403644561768	0
you	2	30	3	6.114548683166504	6.568580627441406	1.3298230171203613
were	2	31	4	3.4103784561157227	7.413210391998291	0
to	2	32	2	5.898940086364746	9.091938018798828	0
go	2	33	2	6.9503045082092285	7.622581481933594	1.4693565368652344
into	2	34	4	4.645163059234619	5.803126811981201	1.8194546699523926
the	2	35	3	1.947465419769287	6.457150459289551	0
city	2	36	4	6.533148765563965	10.258655548095703	0
to	2	37	2	4.466652870178223	4.45106840133667	5.807587146759033
visit	2	38	5	9.096470832824707	8.834244728088379	0
the	2	39	3	1.2387431859970093	5.418795108795166	3.415449619293213
<unk>	2	40	5	3.9260060787200928	10.525699615478516	0
City	2	41	4	14.977974891662598	6.652402877807617	3.8732967376708984
<unk>	2	42	5	5.52489709854126	6.139544486999512	0.5128583908081055
you	2	43	3	14.616155624389648	5.499694347381592	0.6398501396179199
would	2	44	5	5.0156049728393555	7.449993133544922	0
see	2	45	3	6.993131160736084	7.255791664123535	0.19420146942138672
there	2	46	5	8.267250061035156	6.320162296295166	0.9356293678283691
the	2	47	3	10.286208152770996	4.538003921508789	1.782158374786377
<unk>	2	48	5	5.022440433502197	10.107025146484375	0
of	2	49	2	3.785728931427002	7.962244987487793	2.144780158996582
the	2	50	3	1.305976390838623	6.558781147003174	1.4034638404846191
City	2	51	4	12.914135932922363	10.431045532226562	0
of	2	52	2	1.6441130638122559	5.422277927398682	5.008767604827881
<unk>	2	53	5	4.373414993286133	6.425527095794678	0
which	2	54	5	7.93519401550293	6.399164199829102	0.026362895965576172
those	2	55	5	13.272364616394043	7.029819488525391	0
same	2	56	4	13.422429084777832	8.600276947021484	0
mill	2	57	4	15.69704818725586	8.758501052856445	0
owners	2	58	6	10.189445495605469	7.245382308959961	1.5131187438964844
created	2	59	7	12.130364418029785	6.484580993652344	0.7608013153076172
to	2	60	2	4.264249801635742	6.525311470031738	0
celebrate	2	61	9	10.65722942352295	7.989056587219238	0
their	2	62	5	3.745511054992676	3.7837536334991455	4.205302953720093
<unk>	2	63	5	5.377583026885986	10.17505931854248	0
It	3	0	2	8.13441276550293	5.634664058685303	0
shows	3	1	5	12.339388847351074	3.7517857551574707	1.882878303527832
a	3	2	1	2.2921910285949707	6.422658920288086	0
sinister	3	3	8	17.2568416595459	9.996194839477539	0
looking	3	4	7	14.280001640319824	10.483181953430176	0
<unk>	3	5	5	5.540425777435303	8.745769500732422	1.737412452697754
head	3	6	4	11.843040466308594	6.27681827545166	2.4689512252807617
sitting	3	7	7	14.227375984191895	5.764638900756836	0.5121793746948242
on	3	8	2	1.6959450244903564	4.074328899383545	1.690310001373291
top	3	9	3	8.59402084350586	4.636364459991455	0
of	3	10	2	0.8191044926643372	3.8070571422576904	0.8293073177337646
a	3	11	1	3.444291114807129	2.859706163406372	0.9473509788513184
well	3	12	4	11.795479774475098	10.655376434326172	0
which	3	13	5	16.907581329345703	0.6881118416786194	9.967264592647552
seems	3	14	5	11.68874454498291	9.35533332824707	0
<unk>	3	15	5	7.037745475769043	3.07061505317688	6.28471827507019
at	3	16	2	6.275783061981201	5.402205467224121	0
<unk>	3	17	5	5.3406805992126465	5.1561665534973145	0.24603891372680664
