id,sentence
brown.0,the fulton county grand jury said friday an investigation of atlanta s recent primary election produced no evidence that any irregularities took place
brown.1,the jury further said in term end presentments that the city executive committee which had over all charge of the election deserves the praise and thanks of the city of atlanta for the manner in which the election was conducted
brown.2,the september october term jury had been charged by fulton superior court judge durwood pye to investigate reports of possible irregularities in the hard fought primary which was won by mayor nominate ivan allen jr
brown.3,only a relative handful of such reports was received the jury said considering the widespread interest in the election the number of voters and the size of this city
brown.4,the jury said it did find that many of georgia s registration and election laws are outmoded or inadequate and often ambiguous
brown.5,it recommended that fulton legislators act to have these laws studied and revised to the end of modernizing and improving them
brown.6,the grand jury commented on a number of other topics among them the atlanta and fulton county purchasing departments which it said are well operated and follow generally accepted practices which inure to the best interest of both governments
brown.7,merger proposed
brown.8,however the jury said it believes these two offices should be combined to achieve greater efficiency and reduce the cost of administration
brown.9,the city purchasing department the jury said is lacking in experienced clerical personnel as a result of city personnel policies
brown.10,it urged that the city take steps to remedy this problem
brown.11,implementation of georgia s automobile title law was also recommended by the outgoing jury
brown.12,it urged that the next legislature provide enabling funds and re set the effective date so that an orderly implementation of the law may be effected
brown.13,the grand jury took a swipe at the state welfare department s handling of federal funds granted for child welfare services in foster homes
brown.14,this is one of the major items in the fulton county general assistance program the jury said but the state welfare department has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of fulton county which receives none of this money
brown.15,the jurors said they realize a proportionate distribution of these funds might disable this program in our less populous counties
brown.16,nevertheless we feel that in the future fulton county should receive some portion of these available funds the jurors said
brown.17,failure to do this will continue to place a disproportionate burden on fulton taxpayers
brown.18,the jury also commented on the fulton ordinary s court which has been under fire for its practices in the appointment of appraisers guardians and administrators and the awarding of fees and compensation
brown.19,wards protected
brown.20,the jury said it found the court has incorporated into its operating procedures the recommendations of two previous grand juries the atlanta bar association and an interim citizens committee
brown.21,these actions should serve to protect in fact and in effect the court s wards from undue costs and its appointed and elected servants from unmeritorious criticisms the jury said
brown.22,regarding atlanta s new multi million dollar airport the jury recommended that when the new management takes charge jan 1 the airport be operated in a manner that will eliminate political influences
brown.23,the jury did not elaborate but it added that there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable
brown.24,ask jail deputies
brown.25,on other matters the jury recommended that 1
brown.26,four additional deputies be employed at the fulton county jail and a doctor medical intern or extern be employed for night and weekend duty at the jail
brown.27,fulton legislators work with city officials to pass enabling legislation that will permit the establishment of a fair and equitable pension plan for city employes
